[NLOS] Signal: -84.40 dBm | First Path: -96.08 dBm | Diff: 11.68 dB
[NLOS] Signal: -84.05 dBm | First Path: -96.14 dBm | Diff: 12.10 dB
[NLOS] Signal: -84.05 dBm | First Path: -96.29 dBm | Diff: 12.24 dB
[NLOS] Signal: -84.40 dBm | First Path: -95.83 dBm | Diff: 11.43 dB
[NLOS] Signal: -83.87 dBm | First Path: -95.35 dBm | Diff: 11.48 dB
[NLOS] Signal: -84.00 dBm | First Path: -96.09 dBm | Diff: 12.09 dB
[NLOS] Signal: -84.61 dBm | First Path: -95.59 dBm | Diff: 10.98 dB
[NLOS] Signal: -84.40 dBm | First Path: -96.22 dBm | Diff: 11.82 dB
[NLOS] Signal: -84.10 dBm | First Path: -95.69 dBm | Diff: 11.59 dB
[NLOS] Signal: -84.05 dBm | First Path: -95.41 dBm | Diff: 11.36 dB
[NLOS] Signal: -84.42 dBm | First Path: -95.28 dBm | Diff: 10.86 dB
[NLOS] Signal: -84.24 dBm | First Path: -96.16 dBm | Diff: 11.92 dB
[NLOS] Signal: -84.38 dBm | First Path: -95.57 dBm | Diff: 11.19 dB
[NLOS] Signal: -84.28 dBm | First Path: -96.54 dBm | Diff: 12.26 dB
[NLOS] Signal: -84.67 dBm | First Path: -95.02 dBm | Diff: 10.34 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.89 dBm | Diff: 10.29 dB
[NLOS] Signal: -84.14 dBm | First Path: -96.15 dBm | Diff: 12.02 dB
[NLOS] Signal: -84.28 dBm | First Path: -95.33 dBm | Diff: 11.04 dB
[NLOS] Signal: -84.22 dBm | First Path: -95.50 dBm | Diff: 11.28 dB
[NLOS] Signal: -84.28 dBm | First Path: -95.27 dBm | Diff: 10.99 dB
[NLOS] Signal: -84.08 dBm | First Path: -95.76 dBm | Diff: 11.68 dB
[NLOS] Signal: -84.69 dBm | First Path: -95.04 dBm | Diff: 10.35 dB
[NLOS] Signal: -84.45 dBm | First Path: -94.82 dBm | Diff: 10.38 dB
[NLOS] Signal: -84.37 dBm | First Path: -96.27 dBm | Diff: 11.90 dB
[NLOS] Signal: -84.30 dBm | First Path: -94.88 dBm | Diff: 10.58 dB
[NLOS] Signal: -84.37 dBm | First Path: -95.24 dBm | Diff: 10.87 dB
[NLOS] Signal: -84.92 dBm | First Path: -94.64 dBm | Diff: 9.72 dB
[NLOS] Signal: -84.28 dBm | First Path: -94.57 dBm | Diff: 10.29 dB
[NLOS] Signal: -84.37 dBm | First Path: -94.30 dBm | Diff: 9.94 dB
[NLOS] Signal: -84.45 dBm | First Path: -95.37 dBm | Diff: 10.92 dB
[NLOS] Signal: -84.45 dBm | First Path: -94.06 dBm | Diff: 9.61 dB
[NLOS] Signal: -84.30 dBm | First Path: -95.58 dBm | Diff: 11.28 dB
[NLOS] Signal: -83.99 dBm | First Path: -94.60 dBm | Diff: 10.60 dB
[NLOS] Signal: -83.92 dBm | First Path: -94.27 dBm | Diff: 10.35 dB
[NLOS] Signal: -84.61 dBm | First Path: -94.22 dBm | Diff: 9.61 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.30 dBm | Diff: 9.70 dB
[NLOS] Signal: -84.35 dBm | First Path: -94.22 dBm | Diff: 9.86 dB
[NLOS] Signal: -84.62 dBm | First Path: -94.20 dBm | Diff: 9.58 dB
[NLOS] Signal: -84.68 dBm | First Path: -94.67 dBm | Diff: 9.99 dB
[NLOS] Signal: -84.22 dBm | First Path: -95.53 dBm | Diff: 11.31 dB
[NLOS] Signal: -84.13 dBm | First Path: -94.64 dBm | Diff: 10.51 dB
[NLOS] Signal: -84.24 dBm | First Path: -95.35 dBm | Diff: 11.11 dB
[NLOS] Signal: -84.26 dBm | First Path: -94.90 dBm | Diff: 10.64 dB
[NLOS] Signal: -84.18 dBm | First Path: -94.75 dBm | Diff: 10.57 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.53 dBm | Diff: 9.94 dB
[NLOS] Signal: -84.84 dBm | First Path: -94.63 dBm | Diff: 9.79 dB
[NLOS] Signal: -84.59 dBm | First Path: -95.01 dBm | Diff: 10.42 dB
[NLOS] Signal: -84.26 dBm | First Path: -94.62 dBm | Diff: 10.36 dB
[NLOS] Signal: -84.12 dBm | First Path: -94.23 dBm | Diff: 10.12 dB
[NLOS] Signal: -84.77 dBm | First Path: -94.38 dBm | Diff: 9.61 dB
[NLOS] Signal: -84.62 dBm | First Path: -94.50 dBm | Diff: 9.88 dB
[NLOS] Signal: -84.67 dBm | First Path: -94.74 dBm | Diff: 10.07 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.78 dBm | Diff: 10.18 dB
[NLOS] Signal: -84.53 dBm | First Path: -95.71 dBm | Diff: 11.18 dB
[NLOS] Signal: -84.84 dBm | First Path: -95.46 dBm | Diff: 10.62 dB
[NLOS] Signal: -84.30 dBm | First Path: -95.65 dBm | Diff: 11.35 dB
[NLOS] Signal: -84.40 dBm | First Path: -95.36 dBm | Diff: 10.96 dB
[NLOS] Signal: -84.52 dBm | First Path: -95.55 dBm | Diff: 11.03 dB
[NLOS] Signal: -84.44 dBm | First Path: -95.17 dBm | Diff: 10.73 dB
[NLOS] Signal: -84.77 dBm | First Path: -95.06 dBm | Diff: 10.30 dB
[NLOS] Signal: -85.00 dBm | First Path: -95.13 dBm | Diff: 10.13 dB
[NLOS] Signal: -84.46 dBm | First Path: -96.18 dBm | Diff: 11.72 dB
[NLOS] Signal: -84.69 dBm | First Path: -95.13 dBm | Diff: 10.44 dB
[NLOS] Signal: -84.61 dBm | First Path: -94.95 dBm | Diff: 10.34 dB
[NLOS] Signal: -84.28 dBm | First Path: -95.16 dBm | Diff: 10.88 dB
[NLOS] Signal: -84.32 dBm | First Path: -94.84 dBm | Diff: 10.52 dB
[NLOS] Signal: -84.40 dBm | First Path: -95.55 dBm | Diff: 11.16 dB
[NLOS] Signal: -84.92 dBm | First Path: -95.73 dBm | Diff: 10.81 dB
[NLOS] Signal: -84.67 dBm | First Path: -94.71 dBm | Diff: 10.04 dB
[NLOS] Signal: -84.62 dBm | First Path: -95.54 dBm | Diff: 10.92 dB
[NLOS] Signal: -84.62 dBm | First Path: -96.48 dBm | Diff: 11.86 dB
[NLOS] Signal: -84.76 dBm | First Path: -95.41 dBm | Diff: 10.65 dB
[NLOS] Signal: -84.27 dBm | First Path: -95.79 dBm | Diff: 11.52 dB
[NLOS] Signal: -84.61 dBm | First Path: -95.42 dBm | Diff: 10.81 dB
[NLOS] Signal: -84.62 dBm | First Path: -96.36 dBm | Diff: 11.74 dB
