[NLOS] Signal: -81.75 dBm | First Path: -90.66 dBm | Diff: 8.91 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.78 dBm | Diff: 8.95 dB
[NLOS] Signal: -81.59 dBm | First Path: -89.87 dBm | Diff: 8.28 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.14 dBm | Diff: 8.47 dB
[NLOS] Signal: -81.59 dBm | First Path: -90.27 dBm | Diff: 8.68 dB
[NLOS] Signal: -81.66 dBm | First Path: -90.18 dBm | Diff: 8.51 dB
[NLOS] Signal: -81.50 dBm | First Path: -90.64 dBm | Diff: 9.14 dB
[NLOS] Signal: -81.58 dBm | First Path: -89.87 dBm | Diff: 8.29 dB
[NLOS] Signal: -81.45 dBm | First Path: -89.93 dBm | Diff: 8.48 dB
[NLOS] Signal: -81.75 dBm | First Path: -91.30 dBm | Diff: 9.55 dB
[NLOS] Signal: -81.54 dBm | First Path: -90.70 dBm | Diff: 9.17 dB
[NLOS] Signal: -81.67 dBm | First Path: -90.58 dBm | Diff: 8.91 dB
[NLOS] Signal: -81.45 dBm | First Path: -90.16 dBm | Diff: 8.71 dB
[NLOS] Signal: -81.40 dBm | First Path: -90.48 dBm | Diff: 9.08 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.39 dBm | Diff: 8.56 dB
[NLOS] Signal: -81.46 dBm | First Path: -90.83 dBm | Diff: 9.37 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.24 dBm | Diff: 9.41 dB
[NLOS] Signal: -81.83 dBm | First Path: -90.60 dBm | Diff: 8.77 dB
[NLOS] Signal: -81.75 dBm | First Path: -90.96 dBm | Diff: 9.22 dB
[NLOS] Signal: -81.54 dBm | First Path: -90.14 dBm | Diff: 8.60 dB
[NLOS] Signal: -81.60 dBm | First Path: -90.60 dBm | Diff: 8.99 dB
[NLOS] Signal: -81.83 dBm | First Path: -91.64 dBm | Diff: 9.81 dB
[NLOS] Signal: -81.51 dBm | First Path: -90.43 dBm | Diff: 8.92 dB
