[NLOS] Signal: -85.02 dBm | First Path: -97.05 dBm | Diff: 12.03 dB
[NLOS] Signal: -85.02 dBm | First Path: -96.33 dBm | Diff: 11.30 dB
[NLOS] Signal: -85.52 dBm | First Path: -97.15 dBm | Diff: 11.63 dB
[NLOS] Signal: -85.57 dBm | First Path: -97.68 dBm | Diff: 12.11 dB
[NLOS] Signal: -85.35 dBm | First Path: -98.39 dBm | Diff: 13.04 dB
[NLOS] Signal: -85.60 dBm | First Path: -98.05 dBm | Diff: 12.45 dB
[NLOS] Signal: -85.37 dBm | First Path: -97.49 dBm | Diff: 12.11 dB
[NLOS] Signal: -85.32 dBm | First Path: -98.16 dBm | Diff: 12.84 dB
[NLOS] Signal: -85.21 dBm | First Path: -98.09 dBm | Diff: 12.88 dB
[NLOS] Signal: -85.73 dBm | First Path: -99.09 dBm | Diff: 13.36 dB
[NLOS] Signal: -85.61 dBm | First Path: -100.38 dBm | Diff: 14.77 dB
[NLOS] Signal: -85.40 dBm | First Path: -101.30 dBm | Diff: 15.90 dB
[NLOS] Signal: -85.35 dBm | First Path: -99.70 dBm | Diff: 14.35 dB
[NLOS] Signal: -85.90 dBm | First Path: -99.36 dBm | Diff: 13.46 dB
[NLOS] Signal: -85.89 dBm | First Path: -99.95 dBm | Diff: 14.06 dB
[NLOS] Signal: -85.27 dBm | First Path: -100.63 dBm | Diff: 15.36 dB
[NLOS] Signal: -84.84 dBm | First Path: -99.63 dBm | Diff: 14.79 dB
[NLOS] Signal: -85.40 dBm | First Path: -100.98 dBm | Diff: 15.58 dB
[NLOS] Signal: -85.57 dBm | First Path: -100.55 dBm | Diff: 14.98 dB
[NLOS] Signal: -84.92 dBm | First Path: -100.56 dBm | Diff: 15.64 dB
[NLOS] Signal: -85.09 dBm | First Path: -99.91 dBm | Diff: 14.82 dB
[NLOS] Signal: -84.84 dBm | First Path: -101.36 dBm | Diff: 16.52 dB
[NLOS] Signal: -85.08 dBm | First Path: -100.99 dBm | Diff: 15.91 dB
[NLOS] Signal: -84.92 dBm | First Path: -100.76 dBm | Diff: 15.84 dB
[NLOS] Signal: -84.92 dBm | First Path: -100.54 dBm | Diff: 15.63 dB
[NLOS] Signal: -85.69 dBm | First Path: -102.13 dBm | Diff: 16.45 dB
[NLOS] Signal: -85.69 dBm | First Path: -101.77 dBm | Diff: 16.08 dB
[NLOS] Signal: -85.60 dBm | First Path: -101.38 dBm | Diff: 15.77 dB
[NLOS] Signal: -85.41 dBm | First Path: -101.47 dBm | Diff: 16.06 dB
[NLOS] Signal: -85.43 dBm | First Path: -101.07 dBm | Diff: 15.64 dB
[NLOS] Signal: -85.48 dBm | First Path: -102.41 dBm | Diff: 16.93 dB
[NLOS] Signal: -85.35 dBm | First Path: -101.42 dBm | Diff: 16.07 dB
[NLOS] Signal: -85.17 dBm | First Path: -100.99 dBm | Diff: 15.82 dB
[NLOS] Signal: -85.77 dBm | First Path: -101.38 dBm | Diff: 15.61 dB
[NLOS] Signal: -85.57 dBm | First Path: -101.25 dBm | Diff: 15.69 dB
[NLOS] Signal: -85.17 dBm | First Path: -100.99 dBm | Diff: 15.81 dB
[NLOS] Signal: -85.35 dBm | First Path: -100.80 dBm | Diff: 15.45 dB
[NLOS] Signal: -85.25 dBm | First Path: -100.46 dBm | Diff: 15.21 dB
[NLOS] Signal: -85.08 dBm | First Path: -99.82 dBm | Diff: 14.75 dB
[NLOS] Signal: -84.92 dBm | First Path: -99.23 dBm | Diff: 14.32 dB
[NLOS] Signal: -85.02 dBm | First Path: -99.59 dBm | Diff: 14.57 dB
[NLOS] Signal: -85.25 dBm | First Path: -100.93 dBm | Diff: 15.68 dB
[NLOS] Signal: -85.00 dBm | First Path: -99.67 dBm | Diff: 14.67 dB
[NLOS] Signal: -84.92 dBm | First Path: -98.84 dBm | Diff: 13.92 dB
[NLOS] Signal: -85.17 dBm | First Path: -99.40 dBm | Diff: 14.23 dB
[NLOS] Signal: -85.02 dBm | First Path: -98.73 dBm | Diff: 13.71 dB
[NLOS] Signal: -85.35 dBm | First Path: -98.74 dBm | Diff: 13.39 dB
[NLOS] Signal: -85.00 dBm | First Path: -99.01 dBm | Diff: 14.01 dB
[NLOS] Signal: -85.27 dBm | First Path: -100.11 dBm | Diff: 14.84 dB
[NLOS] Signal: -85.27 dBm | First Path: -98.03 dBm | Diff: 12.76 dB
[NLOS] Signal: -85.00 dBm | First Path: -98.47 dBm | Diff: 13.47 dB
[NLOS] Signal: -85.33 dBm | First Path: -98.07 dBm | Diff: 12.74 dB
[NLOS] Signal: -85.77 dBm | First Path: -97.93 dBm | Diff: 12.16 dB
[NLOS] Signal: -85.73 dBm | First Path: -97.79 dBm | Diff: 12.06 dB
[NLOS] Signal: -85.40 dBm | First Path: -98.69 dBm | Diff: 13.29 dB
[NLOS] Signal: -84.84 dBm | First Path: -98.53 dBm | Diff: 13.69 dB
[NLOS] Signal: -85.12 dBm | First Path: -98.03 dBm | Diff: 12.90 dB
[NLOS] Signal: -85.77 dBm | First Path: -98.88 dBm | Diff: 13.12 dB
[NLOS] Signal: -85.52 dBm | First Path: -98.14 dBm | Diff: 12.62 dB
[NLOS] Signal: -85.32 dBm | First Path: -98.24 dBm | Diff: 12.92 dB
[NLOS] Signal: -85.17 dBm | First Path: -99.53 dBm | Diff: 14.36 dB
[NLOS] Signal: -85.41 dBm | First Path: -98.11 dBm | Diff: 12.70 dB
[NLOS] Signal: -86.35 dBm | First Path: -98.19 dBm | Diff: 11.83 dB
[NLOS] Signal: -86.12 dBm | First Path: -99.28 dBm | Diff: 13.16 dB
[NLOS] Signal: -85.65 dBm | First Path: -97.75 dBm | Diff: 12.11 dB
[NLOS] Signal: -86.04 dBm | First Path: -98.33 dBm | Diff: 12.29 dB
[NLOS] Signal: -85.19 dBm | First Path: -97.24 dBm | Diff: 12.05 dB
[NLOS] Signal: -85.19 dBm | First Path: -97.60 dBm | Diff: 12.41 dB
[NLOS] Signal: -85.65 dBm | First Path: -97.48 dBm | Diff: 11.83 dB
[NLOS] Signal: -85.37 dBm | First Path: -98.11 dBm | Diff: 12.74 dB
[NLOS] Signal: -85.69 dBm | First Path: -98.62 dBm | Diff: 12.93 dB
[NLOS] Signal: -85.37 dBm | First Path: -97.80 dBm | Diff: 12.43 dB
[NLOS] Signal: -85.52 dBm | First Path: -98.28 dBm | Diff: 12.77 dB
[NLOS] Signal: -85.65 dBm | First Path: -97.44 dBm | Diff: 11.79 dB
[NLOS] Signal: -85.60 dBm | First Path: -98.30 dBm | Diff: 12.70 dB
[NLOS] Signal: -85.48 dBm | First Path: -97.74 dBm | Diff: 12.26 dB
[NLOS] Signal: -85.98 dBm | First Path: -97.84 dBm | Diff: 11.86 dB
[NLOS] Signal: -85.51 dBm | First Path: -97.84 dBm | Diff: 12.33 dB
[NLOS] Signal: -85.73 dBm | First Path: -97.70 dBm | Diff: 11.97 dB
[NLOS] Signal: -85.53 dBm | First Path: -97.24 dBm | Diff: 11.71 dB
[NLOS] Signal: -85.45 dBm | First Path: -98.49 dBm | Diff: 13.04 dB
[NLOS] Signal: -85.77 dBm | First Path: -97.85 dBm | Diff: 12.08 dB
[NLOS] Signal: -85.95 dBm | First Path: -97.40 dBm | Diff: 11.45 dB
[NLOS] Signal: -85.65 dBm | First Path: -97.96 dBm | Diff: 12.31 dB
[NLOS] Signal: -85.85 dBm | First Path: -98.25 dBm | Diff: 12.40 dB
[NLOS] Signal: -85.51 dBm | First Path: -97.72 dBm | Diff: 12.21 dB
[NLOS] Signal: -85.61 dBm | First Path: -97.19 dBm | Diff: 11.57 dB
[NLOS] Signal: -85.65 dBm | First Path: -98.21 dBm | Diff: 12.56 dB
[NLOS] Signal: -85.81 dBm | First Path: -98.12 dBm | Diff: 12.32 dB
[NLOS] Signal: -85.98 dBm | First Path: -97.35 dBm | Diff: 11.37 dB
[NLOS] Signal: -85.77 dBm | First Path: -98.10 dBm | Diff: 12.33 dB
[NLOS] Signal: -85.93 dBm | First Path: -97.83 dBm | Diff: 11.90 dB
[NLOS] Signal: -86.44 dBm | First Path: -97.81 dBm | Diff: 11.37 dB
[NLOS] Signal: -85.69 dBm | First Path: -97.94 dBm | Diff: 12.26 dB
[NLOS] Signal: -85.69 dBm | First Path: -97.74 dBm | Diff: 12.05 dB
[NLOS] Signal: -85.77 dBm | First Path: -99.02 dBm | Diff: 13.25 dB
[NLOS] Signal: -86.22 dBm | First Path: -98.56 dBm | Diff: 12.34 dB
[NLOS] Signal: -86.20 dBm | First Path: -98.63 dBm | Diff: 12.43 dB
[NLOS] Signal: -86.22 dBm | First Path: -99.06 dBm | Diff: 12.84 dB
[NLOS] Signal: -85.98 dBm | First Path: -97.83 dBm | Diff: 11.85 dB
[NLOS] Signal: -86.20 dBm | First Path: -98.83 dBm | Diff: 12.62 dB
[NLOS] Signal: -86.12 dBm | First Path: -98.53 dBm | Diff: 12.41 dB
[NLOS] Signal: -85.81 dBm | First Path: -98.13 dBm | Diff: 12.32 dB
[NLOS] Signal: -85.89 dBm | First Path: -97.97 dBm | Diff: 12.08 dB
[NLOS] Signal: -86.06 dBm | First Path: -98.79 dBm | Diff: 12.73 dB
