[NLOS] Signal: -83.76 dBm | First Path: -96.79 dBm | Diff: 13.04 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.40 dBm | Diff: 13.33 dB
[NLOS] Signal: -83.10 dBm | First Path: -95.94 dBm | Diff: 12.83 dB
[NLOS] Signal: -83.67 dBm | First Path: -97.22 dBm | Diff: 13.55 dB
[NLOS] Signal: -83.16 dBm | First Path: -96.24 dBm | Diff: 13.08 dB
[NLOS] Signal: -83.51 dBm | First Path: -96.54 dBm | Diff: 13.04 dB
[NLOS] Signal: -83.26 dBm | First Path: -97.54 dBm | Diff: 14.28 dB
[NLOS] Signal: -83.24 dBm | First Path: -96.27 dBm | Diff: 13.03 dB
[NLOS] Signal: -83.31 dBm | First Path: -96.56 dBm | Diff: 13.25 dB
[NLOS] Signal: -83.47 dBm | First Path: -96.59 dBm | Diff: 13.12 dB
[NLOS] Signal: -83.55 dBm | First Path: -96.72 dBm | Diff: 13.17 dB
[NLOS] Signal: -83.31 dBm | First Path: -96.41 dBm | Diff: 13.10 dB
[NLOS] Signal: -83.03 dBm | First Path: -96.10 dBm | Diff: 13.07 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.77 dBm | Diff: 13.77 dB
[NLOS] Signal: -83.00 dBm | First Path: -96.27 dBm | Diff: 13.27 dB
[NLOS] Signal: -83.05 dBm | First Path: -96.26 dBm | Diff: 13.21 dB
[NLOS] Signal: -83.02 dBm | First Path: -96.56 dBm | Diff: 13.53 dB
[NLOS] Signal: -83.56 dBm | First Path: -96.83 dBm | Diff: 13.27 dB
[NLOS] Signal: -83.63 dBm | First Path: -96.30 dBm | Diff: 12.67 dB
[NLOS] Signal: -83.51 dBm | First Path: -97.25 dBm | Diff: 13.74 dB
[NLOS] Signal: -83.59 dBm | First Path: -96.53 dBm | Diff: 12.94 dB
[NLOS] Signal: -83.43 dBm | First Path: -97.32 dBm | Diff: 13.89 dB
[NLOS] Signal: -83.51 dBm | First Path: -96.07 dBm | Diff: 12.56 dB
[NLOS] Signal: -83.21 dBm | First Path: -97.01 dBm | Diff: 13.80 dB
[NLOS] Signal: -83.39 dBm | First Path: -96.06 dBm | Diff: 12.67 dB
[NLOS] Signal: -83.32 dBm | First Path: -96.20 dBm | Diff: 12.88 dB
[NLOS] Signal: -83.72 dBm | First Path: -96.51 dBm | Diff: 12.79 dB
[NLOS] Signal: -83.38 dBm | First Path: -96.31 dBm | Diff: 12.93 dB
[NLOS] Signal: -83.10 dBm | First Path: -96.57 dBm | Diff: 13.46 dB
[NLOS] Signal: -83.05 dBm | First Path: -96.31 dBm | Diff: 13.26 dB
[NLOS] Signal: -83.08 dBm | First Path: -96.26 dBm | Diff: 13.18 dB
