[NLOS] Signal: -87.31 dBm | First Path: -95.66 dBm | Diff: 8.35 dB
[NLOS] Signal: -87.19 dBm | First Path: -95.63 dBm | Diff: 8.44 dB
[NLOS] Signal: -87.34 dBm | First Path: -95.36 dBm | Diff: 8.01 dB
[NLOS] Signal: -87.11 dBm | First Path: -95.38 dBm | Diff: 8.27 dB
[NLOS] Signal: -87.43 dBm | First Path: -95.71 dBm | Diff: 8.28 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.44 dBm | Diff: 8.12 dB
[NLOS] Signal: -88.31 dBm | First Path: -95.51 dBm | Diff: 7.20 dB
[NLOS] Signal: -87.60 dBm | First Path: -94.98 dBm | Diff: 7.38 dB
[NLOS] Signal: -87.36 dBm | First Path: -94.81 dBm | Diff: 7.45 dB
[NLOS] Signal: -87.28 dBm | First Path: -94.59 dBm | Diff: 7.31 dB
[NLOS] Signal: -87.34 dBm | First Path: -95.39 dBm | Diff: 8.05 dB
[NLOS] Signal: -87.28 dBm | First Path: -95.72 dBm | Diff: 8.44 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.18 dBm | Diff: 8.04 dB
[NLOS] Signal: -87.34 dBm | First Path: -95.50 dBm | Diff: 8.16 dB
[NLOS] Signal: -87.45 dBm | First Path: -94.91 dBm | Diff: 7.47 dB
[NLOS] Signal: -87.44 dBm | First Path: -95.09 dBm | Diff: 7.65 dB
[NLOS] Signal: -87.19 dBm | First Path: -95.59 dBm | Diff: 8.40 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.01 dBm | Diff: 7.86 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.12 dBm | Diff: 7.97 dB
[NLOS] Signal: -87.19 dBm | First Path: -94.81 dBm | Diff: 7.62 dB
[NLOS] Signal: -87.36 dBm | First Path: -95.45 dBm | Diff: 8.09 dB
[NLOS] Signal: -87.19 dBm | First Path: -95.37 dBm | Diff: 8.18 dB
[NLOS] Signal: -87.11 dBm | First Path: -95.13 dBm | Diff: 8.03 dB
[NLOS] Signal: -87.34 dBm | First Path: -95.13 dBm | Diff: 7.78 dB
[NLOS] Signal: -87.15 dBm | First Path: -94.89 dBm | Diff: 7.74 dB
[NLOS] Signal: -87.28 dBm | First Path: -95.26 dBm | Diff: 7.98 dB
[NLOS] Signal: -87.11 dBm | First Path: -95.22 dBm | Diff: 8.11 dB
[NLOS] Signal: -87.45 dBm | First Path: -95.64 dBm | Diff: 8.20 dB
[NLOS] Signal: -87.43 dBm | First Path: -95.82 dBm | Diff: 8.39 dB
[NLOS] Signal: -87.19 dBm | First Path: -95.04 dBm | Diff: 7.85 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.76 dBm | Diff: 8.61 dB
[NLOS] Signal: -87.23 dBm | First Path: -95.06 dBm | Diff: 7.83 dB
[NLOS] Signal: -87.43 dBm | First Path: -96.07 dBm | Diff: 8.64 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.61 dBm | Diff: 8.30 dB
[NLOS] Signal: -87.45 dBm | First Path: -96.05 dBm | Diff: 8.60 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.31 dBm | Diff: 8.00 dB
[NLOS] Signal: -87.23 dBm | First Path: -95.57 dBm | Diff: 8.35 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.80 dBm | Diff: 8.49 dB
[NLOS] Signal: -87.11 dBm | First Path: -95.54 dBm | Diff: 8.43 dB
[NLOS] Signal: -87.02 dBm | First Path: -95.36 dBm | Diff: 8.33 dB
[NLOS] Signal: -87.43 dBm | First Path: -95.58 dBm | Diff: 8.15 dB
