[NLOS] Signal: -84.27 dBm | First Path: -93.70 dBm | Diff: 9.43 dB
[NLOS] Signal: -84.30 dBm | First Path: -93.10 dBm | Diff: 8.80 dB
[NLOS] Signal: -84.38 dBm | First Path: -93.63 dBm | Diff: 9.25 dB
[NLOS] Signal: -84.76 dBm | First Path: -93.18 dBm | Diff: 8.42 dB
[NLOS] Signal: -84.32 dBm | First Path: -93.29 dBm | Diff: 8.97 dB
[NLOS] Signal: -84.53 dBm | First Path: -93.20 dBm | Diff: 8.68 dB
[NLOS] Signal: -84.44 dBm | First Path: -93.55 dBm | Diff: 9.12 dB
[NLOS] Signal: -84.45 dBm | First Path: -93.28 dBm | Diff: 8.83 dB
[NLOS] Signal: -84.93 dBm | First Path: -93.16 dBm | Diff: 8.23 dB
[NLOS] Signal: -84.05 dBm | First Path: -92.92 dBm | Diff: 8.87 dB
[NLOS] Signal: -84.68 dBm | First Path: -93.71 dBm | Diff: 9.03 dB
[NLOS] Signal: -84.46 dBm | First Path: -93.24 dBm | Diff: 8.78 dB
[NLOS] Signal: -84.61 dBm | First Path: -92.79 dBm | Diff: 8.18 dB
[NLOS] Signal: -84.38 dBm | First Path: -93.34 dBm | Diff: 8.96 dB
[NLOS] Signal: -84.68 dBm | First Path: -93.91 dBm | Diff: 9.23 dB
[NLOS] Signal: -84.46 dBm | First Path: -94.08 dBm | Diff: 9.62 dB
[NLOS] Signal: -84.76 dBm | First Path: -93.63 dBm | Diff: 8.87 dB
[NLOS] Signal: -84.76 dBm | First Path: -94.00 dBm | Diff: 9.24 dB
[NLOS] Signal: -84.46 dBm | First Path: -93.50 dBm | Diff: 9.03 dB
[NLOS] Signal: -84.68 dBm | First Path: -93.32 dBm | Diff: 8.64 dB
[NLOS] Signal: -84.92 dBm | First Path: -94.10 dBm | Diff: 9.18 dB
[NLOS] Signal: -84.52 dBm | First Path: -93.86 dBm | Diff: 9.35 dB
[NLOS] Signal: -84.28 dBm | First Path: -93.53 dBm | Diff: 9.24 dB
[NLOS] Signal: -84.21 dBm | First Path: -93.48 dBm | Diff: 9.27 dB
[NLOS] Signal: -84.59 dBm | First Path: -93.65 dBm | Diff: 9.06 dB
[NLOS] Signal: -84.68 dBm | First Path: -93.42 dBm | Diff: 8.74 dB
[NLOS] Signal: -84.76 dBm | First Path: -94.32 dBm | Diff: 9.57 dB
[NLOS] Signal: -84.76 dBm | First Path: -93.78 dBm | Diff: 9.02 dB
[NLOS] Signal: -85.09 dBm | First Path: -93.62 dBm | Diff: 8.53 dB
[NLOS] Signal: -84.76 dBm | First Path: -93.75 dBm | Diff: 9.00 dB
[NLOS] Signal: -84.30 dBm | First Path: -93.50 dBm | Diff: 9.20 dB
[NLOS] Signal: -84.84 dBm | First Path: -94.60 dBm | Diff: 9.76 dB
[NLOS] Signal: -84.61 dBm | First Path: -93.73 dBm | Diff: 9.12 dB
[NLOS] Signal: -84.93 dBm | First Path: -93.78 dBm | Diff: 8.85 dB
[NLOS] Signal: -84.69 dBm | First Path: -93.77 dBm | Diff: 9.08 dB
[NLOS] Signal: -85.11 dBm | First Path: -93.43 dBm | Diff: 8.32 dB
[NLOS] Signal: -84.93 dBm | First Path: -94.78 dBm | Diff: 9.85 dB
[NLOS] Signal: -84.08 dBm | First Path: -93.82 dBm | Diff: 9.74 dB
[NLOS] Signal: -85.08 dBm | First Path: -94.16 dBm | Diff: 9.08 dB
[NLOS] Signal: -84.84 dBm | First Path: -94.52 dBm | Diff: 9.67 dB
[NLOS] Signal: -84.60 dBm | First Path: -93.99 dBm | Diff: 9.39 dB
[NLOS] Signal: -84.62 dBm | First Path: -93.58 dBm | Diff: 8.96 dB
[NLOS] Signal: -84.34 dBm | First Path: -93.17 dBm | Diff: 8.84 dB
[NLOS] Signal: -84.92 dBm | First Path: -94.37 dBm | Diff: 9.45 dB
[NLOS] Signal: -84.21 dBm | First Path: -93.63 dBm | Diff: 9.42 dB
[NLOS] Signal: -84.32 dBm | First Path: -94.27 dBm | Diff: 9.95 dB
[NLOS] Signal: -84.51 dBm | First Path: -93.70 dBm | Diff: 9.19 dB
[NLOS] Signal: -84.54 dBm | First Path: -94.21 dBm | Diff: 9.67 dB
[NLOS] Signal: -84.54 dBm | First Path: -94.58 dBm | Diff: 10.04 dB
[NLOS] Signal: -84.43 dBm | First Path: -94.06 dBm | Diff: 9.64 dB
[NLOS] Signal: -84.42 dBm | First Path: -93.67 dBm | Diff: 9.26 dB
[NLOS] Signal: -84.54 dBm | First Path: -94.81 dBm | Diff: 10.27 dB
[NLOS] Signal: -84.68 dBm | First Path: -93.75 dBm | Diff: 9.07 dB
[NLOS] Signal: -84.76 dBm | First Path: -94.14 dBm | Diff: 9.38 dB
[NLOS] Signal: -84.61 dBm | First Path: -93.58 dBm | Diff: 8.98 dB
[NLOS] Signal: -84.84 dBm | First Path: -93.65 dBm | Diff: 8.81 dB
[NLOS] Signal: -84.76 dBm | First Path: -94.35 dBm | Diff: 9.59 dB
[NLOS] Signal: -84.84 dBm | First Path: -93.79 dBm | Diff: 8.94 dB
[NLOS] Signal: -84.62 dBm | First Path: -94.26 dBm | Diff: 9.64 dB
[NLOS] Signal: -84.54 dBm | First Path: -93.62 dBm | Diff: 9.07 dB
[NLOS] Signal: -84.48 dBm | First Path: -93.87 dBm | Diff: 9.39 dB
[NLOS] Signal: -85.12 dBm | First Path: -94.67 dBm | Diff: 9.55 dB
[NLOS] Signal: -84.68 dBm | First Path: -93.63 dBm | Diff: 8.95 dB
[NLOS] Signal: -84.84 dBm | First Path: -94.09 dBm | Diff: 9.25 dB
[NLOS] Signal: -84.84 dBm | First Path: -94.11 dBm | Diff: 9.27 dB
[NLOS] Signal: -84.46 dBm | First Path: -93.95 dBm | Diff: 9.49 dB
[NLOS] Signal: -84.60 dBm | First Path: -93.35 dBm | Diff: 8.75 dB
[NLOS] Signal: -84.68 dBm | First Path: -94.43 dBm | Diff: 9.75 dB
[NLOS] Signal: -84.68 dBm | First Path: -94.13 dBm | Diff: 9.45 dB
[NLOS] Signal: -84.92 dBm | First Path: -94.28 dBm | Diff: 9.36 dB
[NLOS] Signal: -84.84 dBm | First Path: -94.54 dBm | Diff: 9.70 dB
[NLOS] Signal: -84.70 dBm | First Path: -93.62 dBm | Diff: 8.93 dB
[NLOS] Signal: -85.08 dBm | First Path: -94.06 dBm | Diff: 8.98 dB
[NLOS] Signal: -84.60 dBm | First Path: -93.69 dBm | Diff: 9.09 dB
